OF18,OF19,OF20,OF21,OF22,OF23,OF24,F41,F48,F50,F52,F66b,S2,PR_Benefit
0.07,0,4,4,2,1,3,1,1,5,0,0,0,7.164
0.22,0,4,4,2,1,3,0,1,4,4,0,0,2.64
0.13,0,4,4,1,1,2,1,1,5,0,0,0,7.808
0.0356,0,4,4,2,2,3,0,3,4,2,0,0,1.939
0.08,0,4,4,1,3,1,1,3,4,2,0,0,8.217
0.49,0,4,4,2,1,3,1,3,5,0,0,0,5.981
0.3008,0,4,4,3,1,2,1,3,1,2,0,0,7.047
0.51,0,4,4,2,1,2,1,3,5,0,0,0,6.381
0.43,0,4,4,2,1,3,1,3,5,0,380,0,6.031
0.52,0,4,4,2,1,3,1,3,4,2,81,0,6.236
0.08,0,4,4,2,1,2,1,3,5,0,63,0,6.739
0.59,0,4,4,2,1,3,1,3,5,0,45,0,5.897
0.38,0,4,4,1,3,3,0,3,2,1,62.5,0,2.407
0.07,0,4,4,2,1,3,1,3,5,0,80,0,6.331
0.23,1,4,4,2,1,3,1,3,5,0,80,0,10
0.72,0,4,4,3,1,3,1,2,5,0,80,0,6.067
0.66,0,0,0,2,1,3,1,3,5,0,52,0.063492063,10
0.079,0,4,4,1,3,2,1,3,5,0,60,0.126984127,7.851
0.56,0,4,4,1,1,3,1,3,5,0,68,0.19047619,6.2
0.46,0,4,4,3,1,0,1,3,5,0,80.33333333,0.253968254,5.728
0.038,0,4,4,2,2,2,1,3,5,0,92.66666667,0.317460317,7.191
0.7,0,4,4,2,1,3,0,3,4,2,105,0.380952381,1.107
0.1837,0,4,4,2,3,3,0,3,3,1,152,0.444444444,2.131
0.1,0,4,4,2,1,2,1,3,4,2,199,0.395061728,6.893
0.77,0,4,4,3,1,3,1,3,5,0,101,0.345679012,5.469
0.25,0,4,4,2,1,2,0,3,4,1,83,0.296296296,1.548
0.76,0,4,4,3,1,3,0,3,5,0,65,0.24691358,0.478
0.35,0,4,4,2,1,3,1,3,5,0,57,0.197530864,6.097
0.7,1,4,4,3,1,3,0,3,5,0,108,0.148148148,10
0.76,0,4,4,3,1,3,0,3,5,0,230,0.098765432,0.478
0.31,1,4,4,2,1,3,1,2,5,0,160,0.049382716,10
0.1969,0,4,4,2,2,3,1,3,4,1,190.5,0,6.586
0.322,0,4,4,1,1,2,1,3,5,0,221,0,6.815
0.3181,0,4,4,2,1,2,0,3,4,3,251.5,0,1.975
0.252,0,4,4,2,1,3,1,3,5,0,282,0,6.179
0.4,0,4,4,2,1,3,1,3,5,0,312.5,0,6.056
0.52,0,4,4,1,1,3,1,3,5,0,343,0,6.233
0.62,0,4,4,1,1,3,1,3,5,0,373.5,0,6.15
0.46,0,4,4,2,1,3,1,3,4,2,404,0,6.279
0.29,0,4,4,2,1,3,1,3,5,0,98,0,6.147
0.17,0,4,4,2,1,2,1,2,3,2,242,0,7.498
0.004,0,4,4,2,2,2,1,3,5,0,177.3333333,0,7.219
0.05,0,4,4,2,1,2,1,3,4,1,112.6666667,0,6.69
0.53,0,4,4,2,1,3,1,3,5,0,48,0,5.947
0.005,0,4,4,1,2,3,0,3,5,0,204,0,2.079
0.286,0,4,4,2,1,2,1,2,4,2,360,0,7.236
0.38,0,4,4,2,3,1,1,3,4,3,300.6,0,8.002
0.3122,0,4,4,2,2,2,1,3,5,0,241.2,0,6.962
0.01,0,4,4,1,1,3,0,3,3,2,181.8,0,2.017
0.47,0,4,4,3,1,3,0,3,5,0,122.4,0,0.719
0.77,0,4,4,3,1,3,0,3,4,2,63,0,0.819
0.279,0,4,4,1,1,3,1,3,4,2,78.4,0,6.646
0.48,0,4,4,2,1,3,1,3,5,0,93.8,0,5.989
0.016,0,4,4,1,3,2,1,3,5,0,109.2,0,7.903
0.03,0,4,4,2,1,3,1,3,5,0,124.6,0,6.364
0.09,1,4,4,1,1,3,1,3,4,2,140,0,10
0.08,0,4,4,2,1,3,0,2,5,0,98,0,1.878
0.16,0,4,4,1,1,3,1,3,4,2,384,0,6.731
0.01,0,4,4,2,2,2,1,3,4,2,670,0,7.314
0.005,0,4,4,2,2,3,1,3,4,3,457.5,0,7.199
0.4,0,4,4,2,1,3,0,3,5,0,245,0,1.056
0.03,0,4,4,1,1,3,0,3,5,0,204.2,0,1.642
0.1345,0,4,4,1,1,3,1,3,5,0,163.4,0,6.555
0.07,0,4,4,3,0,2,1,3,3,2,122.6,0,6.855
0.03,0,4,4,2,1,3,1,1,5,0,81.8,0,7.197
0.51,0,4,4,2,1,3,0,3,5,0,41,0,0.964
0.56,0,4,4,1,3,3,1,3,4,2,58.75,0,7.16
0.25,0,4,4,2,3,3,0,3,3,1,76.5,0,2.083
0.005,0,4,4,1,1,3,1,3,5,0,94.25,0,6.662
0.8,0,4,4,3,1,3,0,3,5,0,112,0,0.444
0.37,0,4,4,3,2,2,1,3,5,0,108.3076923,0,6.636
0.26,0,4,4,2,1,3,0,3,5,0,104.6153846,0,1.172
0.2,0,4,4,2,1,3,0,3,4,3,100.9230769,0,1.702
0.25,0,4,4,2,2,3,0,3,2,2,97.23076923,0,2.143
0.38,1,4,4,1,2,3,0,3,5,0,93.53846154,0,10
0.42,0,4,4,2,1,3,1,3,5,0,89.84615385,0,6.039
0.04,0,4,4,2,1,3,0,1,4,2,86.15384615,0,2.293
0.13,0,4,4,2,1,3,0,3,5,0,82.46153846,0,1.281
0.096,0,4,4,1,1,3,0,3,5,0,78.76923077,0,1.587
0.14,0,4,4,2,1,3,0,1,5,0,75.07692308,0,2.106
0.22,0,4,4,1,1,3,0,3,5,0,71.38461538,0,1.483
0.54,0,4,4,1,1,3,0,1,4,3,67.69230769,0,2.412
0.45,0,4,4,4,1,3,0,3,5,0,64,0,0.917
0.24,0,4,4,2,1,3,0,1,5,0,63.25,0,2.022
0.82,0,4,4,4,1,3,0,3,5,0,62.5,0,0.3
0.308,0,4,4,2,1,3,1,3,5,0,61.75,0,6.132
0.71,0,4,4,1,1,3,1,3,5,0,61,0,6.075
0.5,0,4,4,2,2,3,0,3,4,2,68.25,0,1.607
0.83,0,4,4,3,1,3,0,3,5,0,75.5,0,0.419
0.42,0,4,4,3,1,3,0,3,5,0,82.75,0,0.761
0.3,0,0,2,3,2,3,0,3,4,1,90,0,10
0.52,0,0,0,3,1,3,0,2,5,0,134,0,10
0.146,0,0,1,1,2,3,0,3,4,2,142.4,0,10
0.3,0,0,0,1,1,2,1,1,4,3,150.8,0,10
0.01,0,4,4,2,1,3,0,3,5,0,159.2,0,1.381
0.04,0,4,4,2,1,2,1,3,5,0,167.6,0,6.772
0.57,1,4,4,2,2,2,0,2,3,3,176,0,10
0.6,0,4,4,1,1,3,1,3,5,0,33,0,6.167
0.0787,0,4,4,1,2,3,0,3,5,0,45.5,0,2.018
0.58,0,4,4,4,1,3,0,3,5,0,58,0,0.7
0.58,0,4,4,3,1,3,0,3,5,0,51,0,0.628
0.1,0,4,4,3,1,3,0,3,4,1,88.75,0,1.06
0.03,0,4,4,3,3,3,0,3,5,0,126.5,0,1.919
0.061,0,4,4,3,0,3,0,3,5,0,164.25,0,1.06
0.469,0,4,4,3,1,2,0,3,5,0,202,0,1.137
0.907,0,4,4,2,1,3,1,3,5,0,239.75,0,5.633
0.03,0,4,4,1,1,3,0,3,5,0,277.5,0,1.642
0.47,0,4,4,1,1,3,0,3,5,0,315.25,0,1.275
0.26,0,4,4,1,1,2,1,3,5,0,353,0,6.867
0.01,0,4,4,2,2,3,1,3,5,0,230,0,6.797
0.0202,0,4,4,3,1,3,0,3,5,0,230,0,1.094
0.86,0,4,4,3,1,3,0,3,5,0,230,0,0.394
0.1,0,4,4,3,1,2,0,3,4,2,780,0,1.655
0.29,0,4,4,2,1,2,0,3,5,0,471.5,0,1.564
0.111,0,4,4,1,1,3,0,3,4,2,163,0,1.766
0.378,1,4,4,4,1,3,0,3,5,0,186.5,0,10
0.76,0,4,4,3,1,3,0,3,5,0,210,0,0.478
0.36,0,4,4,3,1,3,0,3,5,0,208.3333333,0,0.811
0.47,0,4,4,4,1,3,0,3,5,0,206.6666667,0,0.883
0.634,0,4,4,1,2,3,0,3,5,0,205,0,1.555
0.2115,0,4,4,1,3,3,0,3,5,0,203.3333333,0,2.324
0.127,0,4,4,3,1,3,0,3,5,0,201.6666667,0,1.005
0.106,0,4,4,3,1,3,0,3,5,0,200,0,1.023
0.49,0,4,4,2,1,3,0,3,5,0,198.3333333,0,0.981
0.36,0,4,4,2,2,3,0,3,4,2,196.6666667,0,1.707
0.3,0,4,4,1,1,3,0,3,5,0,195,0,1.417
0.01,0,4,4,1,2,3,0,3,5,0,193.3333333,0,2.075
0.16,0,4,4,2,1,3,0,3,5,0,191.6666667,0,1.256
0.56,0,4,4,2,1,3,0,2,5,0,190,0,1.478
0.6,0,4,4,3,1,3,0,3,5,0,153.3333333,0,0.611
0.6,0,4,4,3,1,3,0,3,5,0,116.6666667,0,0.611
0.39,0,4,4,3,1,2,0,3,5,0,80,0,1.203
0.31,0,4,4,3,1,2,0,3,5,0,85,0,1.269
0.26,0,4,4,1,1,3,1,3,5,0,90,0,6.45
0.77,0,4,4,3,1,3,0,3,5,0,96,0,0.469
0.73,0,4,4,1,1,3,0,3,5,0,20,0,1.058
0.42,0,4,4,1,1,3,1,3,5,0,85,0,6.317
0.54,0,4,4,3,1,2,1,3,5,0,186,0,6.078
0.16,0,4,4,1,1,2,1,2,5,0,105,0,7.506
0.41,0,4,4,1,2,2,1,2,4,3,194,0,7.981
0.55,0,4,4,1,1,3,1,3,5,0,63,0,6.208
0.025,0,4,4,3,2,3,0,3,5,0,61.85714286,0,1.507
0.2,0,4,4,2,1,3,0,3,5,0,60.71428571,0,1.222
0.005,1,4,4,2,2,3,0,3,5,0,59.57142857,0,10
0.75,0,4,4,2,1,3,0,3,5,0,58.42857143,0,0.764
0.28,0,4,4,3,1,3,0,3,5,0,57.28571429,0,0.878
0.006,0,4,4,1,1,3,0,3,5,0,56.14285714,0,1.662
0.49,0,4,4,2,1,3,0,3,4,2,55,0,1.257
0.75,0,4,4,2,1,3,0,3,5,0,101,0,0.764
0.82,0,4,4,3,1,3,0,3,5,0,88.75,0,0.428
0.23,0,4,4,2,1,3,0,3,4,2,76.5,0,1.575
0.16,0,4,4,3,1,3,0,2,5,0,64.25,0,1.533
0.47,0,4,4,3,1,3,0,3,5,0,52,0,0.719
0.001,0,4,4,2,2,2,0,3,3,2,51.8,0,2.499
0.08,0,4,4,1,1,3,0,1,5,0,51.6,0.033333333,2.433
0.01,0,4,2,2,1,2,0,3,3,4,51.4,0.066666667,5
0.37,0,4,4,2,1,3,0,1,5,0,51.2,0.1,1.914
0.212,0,4,4,3,1,3,0,3,5,0,51,0.133333333,0.934
0.12,0,4,4,1,1,3,0,1,4,2,50.8,0.166666667,2.474
0.28,0,4,4,2,1,2,1,3,5,0,50.6,0.2,6.572
0.67,0,4,4,3,1,2,1,3,3,2,50.4,0.233333333,6.426
0.156,0,4,4,2,1,3,0,3,5,0,50.2,0.266666666,1.259
0.45,0,4,4,2,1,3,1,3,5,0,50,0.3,6.014
0.17204,0,4,4,2,2,3,0,3,5,0,54.375,0.333333333,1.662
0.44,0,4,4,1,2,3,0,3,4,2,58.75,0.266666666,1.888
0.412,0,4,4,1,3,2,0,3,4,4,63.125,0.2,3.099
0.279,0,4,4,1,2,2,1,3,4,3,67.5,0.133333333,7.598
0.25,0,4,4,2,1,3,0,3,5,0,71.875,0.066666667,1.181
0.6162,0,4,4,2,2,3,0,3,5,0,76.25,0,1.292
0.15,0,4,4,3,1,3,0,3,4,1,80.625,0,1.024
0.12,0,4,4,2,1,3,0,3,5,0,85,0,1.289
0.18,0,4,4,0,1,3,0,3,5,0,88,0,0.683
0.16,0,4,4,3,1,3,0,3,4,2,89,0,1.255
0.51,0,4,4,3,1,3,0,3,5,0,90,0,0.686
0.53,1,4,4,3,1,3,0,3,5,0,55,0,10
0.81,0,4,4,3,1,3,0,0,5,0,48,0,0.436
0.01,0,4,4,1,1,3,1,3,4,3,183,0,7.076
0.19,0,4,4,2,1,3,0,3,5,0,162.875,0,1.231
0.27,0,4,4,3,1,2,0,3,4,2,142.75,0,1.533
0.12,0,4,4,2,1,3,0,3,3,3,122.625,0,1.938
0.603,0,4,4,2,1,3,0,3,4,2,102.5,0,1.176
0.528,0,4,4,2,2,3,1,3,5,0,82.375,0,6.366
0.17,0,4,4,3,1,3,0,3,5,0,62.25,0,0.969
0.34,0,4,4,2,1,2,0,3,5,0,42.125,0,1.522
0.5,0,4,4,2,1,3,1,3,5,0,22,0,5.972
0.6,0,4,4,2,1,3,0,3,5,0,22.875,0,0.889
0.00085,0,4,4,1,2,3,1,3,5,0,23.75,0,7.083
0.086,0,4,4,1,1,3,1,3,5,0,24.625,0,6.595
0.75,0,4,4,1,3,1,0,3,5,0,25.5,0,2.708
0.166,0,4,4,1,2,3,0,3,5,0,26.375,0,1.945
0.865,0,4,4,2,3,3,0,3,5,0,27.25,0,1.501
0.29,0,4,4,2,3,3,0,3,4,2,28.125,0,2.114
0.66,1,4,4,2,1,3,0,3,5,0,29,0,10
0.0129,0,4,4,2,1,3,0,3,5,0,66.5,0,1.378
0.72,0,4,4,2,1,3,0,3,5,0,104,0,0.789
0.72,0,4,4,2,1,3,0,3,5,0,89.5,0,0.789
0.41,0,4,4,3,1,2,0,3,5,0,75,0,1.186
0.41,0,4,4,3,1,2,0,3,5,0,82.5,0,1.186
0.24,0,4,4,1,1,3,0,3,5,0,90,0,1.467
0.24,0,4,4,3,1,3,0,3,5,0,61,0,0.911
0.59,0,4,4,3,1,3,0,3,5,0,53,0,0.619
0.11,1,4,4,3,1,3,1,3,5,0,156,0,10
0.54,0,4,4,2,1,3,1,2,5,0,134,0,6.494
0.26,0,4,4,1,1,1,1,3,5,0,134,0,7.283
0.06,0,4,4,2,2,3,0,1,3,3,134,0,3.052
0.19,0,4,4,2,1,2,1,3,5,0,134,0,6.647
2146,0,4,4,2,1,2,1,2,5,0,134,0,0
0.1,0,4,4,2,1,1,1,3,4,3,134,0,7.488
0.9,0,4,1,1,1,3,0,3,5,0,134,0,10
0.39,0,4,4,2,1,3,0,1,4,2,134,0,2.043
